date,channel,device,sessions,users,pageviews,bounce_rate,avg_session_duration,conversions,revenue,marketing_cost
2026-01-08,Social Media,Desktop,288,245,802,0.524,165.0,4.0,2384.93,1038.79
2026-06-11,Email,Desktop,304,254,892,0.38,197.0,14.0,12506.23,417.31
2026-02-15,Organic Search,Mobile,487,440,1582,0.379,159.0,11.0,11429.8,0.0
2026-10-16,Email,Mobile,321,256,886,0.307,96.0,17.0,15506.0,437.69
2026-06-28,Direct,Tablet,144,115,303,0.374,134.0,6.0,5720.48,0.0
2026-04-28,Direct,Desktop,200,169,437,0.375,208.0,12.0,13853.69,0.0
2026-03-18,Paid Search,Desktop,441,368,1456,0.407,167.0,14.0,8985.14,3380.47
2026-04-16,Paid Search,Mobile,612,531,1288,0.457,94.0,8.0,7706.34,4741.49
2026-09-17,Email,Desktop,307,251,716,0.324,216.0,14.0,13048.54,409.82
2026-11-21,Paid Search,Desktop,303,247,983,0.387,170.0,10.0,8466.27,2810.48
2026-01-28,Paid Search,Tablet,142,118,413,0.383,91.0,1.0,852.75,1194.96
2026-01-30,Direct,Desktop,259,233,580,0.378,160.0,11.0,12132.26,0.0
2026-02-23,Paid Search,Desktop,466,384,1347,0.418,196.0,12.0,9248.77,4121.22
2026-10-10,Paid Search,Mobile,423,373,1233,0.505,94.0,12.0,10800.12,3897.08
2026-01-27,Organic Search,Mobile,588,472,1251,0.438,132.0,19.0,17473.18,0.0
2026-06-23,Paid Search,Tablet,160,129,528,0.486,188.0,5.0,5057.29,1166.99
2026-09-08,Referral,Desktop,140,118,413,0.423,169.0,8.0,6612.43,274.88
2026-04-30,Referral,Desktop,127,109,283,0.412,184.0,7.0,4667.05,237.2
2026-12-10,Email,Desktop,245,220,817,0.276,196.0,10.0,8981.4,287.29
2026-11-13,Direct,Tablet,96,82,334,0.382,154.0,6.0,5489.94,0.0
2026-07-15,Email,Mobile,402,322,853,0.35,97.0,17.0,16255.15,522.6
2026-10-11,Email,Tablet,47,36,148,0.357,136.0,0.0,0.0,61.76
2026-03-24,Organic Search,Mobile,763,693,2504,0.415,123.0,17.0,14699.9,0.0
2026-06-20,Paid Search,Tablet,171,141,540,0.447,169.0,9.0,6565.48,1657.82
2026-01-02,Direct,Mobile,418,338,1314,0.463,197.0,10.0,9431.75,0.0
2026-03-31,Referral,Mobile,133,115,370,0.437,128.0,3.0,2144.19,216.05
2026-11-11,Direct,Mobile,356,322,1006,0.36,94.0,9.0,9559.18,0.0
2026-04-19,Email,Mobile,286,240,768,0.338,142.0,16.0,15554.16,344.95
2026-04-07,Organic Search,Desktop,596,519,2066,0.379,159.0,35.0,29218.06,0.0
2026-03-19,Email,Tablet,92,82,194,0.354,156.0,5.0,4318.84,99.66
2026-08-24,Email,Desktop,288,252,764,0.303,135.0,15.0,13700.27,358.7
2026-12-01,Organic Search,Tablet,221,177,576,0.423,135.0,7.0,5662.9,0.0
2026-05-04,Referral,Desktop,195,174,442,0.427,195.0,6.0,4367.78,396.17
2026-05-09,Direct,Desktop,247,206,834,0.336,218.0,7.0,6024.05,0.0
2026-02-04,Direct,Mobile,331,285,860,0.404,124.0,11.0,12022.97,0.0
2026-03-21,Paid Search,Mobile,482,428,1045,0.475,161.0,11.0,9563.19,4206.69
2026-09-19,Direct,Desktop,297,260,653,0.392,178.0,10.0,7966.17,0.0
2026-05-06,Organic Search,Tablet,202,159,519,0.397,194.0,7.0,4438.43,0.0
2026-07-09,Email,Mobile,394,344,1186,0.462,74.0,26.0,24440.0,464.55
2026-09-30,Organic Search,Tablet,167,146,402,0.371,108.0,2.0,2119.76,0.0
2026-07-27,Referral,Mobile,255,216,576,0.462,88.0,7.0,6508.31,405.83
2026-09-28,Email,Tablet,128,111,429,0.3,156.0,10.0,8277.73,151.42
2026-07-21,Social Media,Mobile,515,449,1426,0.581,161.0,12.0,6757.25,1506.16
2026-03-15,Referral,Mobile,170,150,364,0.397,136.0,4.0,2820.95,290.88
2026-12-29,Organic Search,Tablet,166,130,414,0.354,162.0,3.0,2583.29,0.0
2026-11-28,Direct,Mobile,326,281,780,0.417,158.0,20.0,18738.14,0.0
2026-01-02,Paid Search,Tablet,130,107,290,0.501,154.0,7.0,4572.29,979.94
2026-10-17,Paid Search,Mobile,403,365,1207,0.468,153.0,12.0,9715.41,3673.72
2026-11-08,Email,Desktop,209,168,447,0.307,198.0,8.0,7032.86,282.53
2026-09-16,Email,Tablet,20,17,56,0.313,175.0,1.0,733.13,26.2
2026-10-31,Organic Search,Mobile,498,400,1565,0.461,93.0,11.0,7809.8,0.0
2026-06-23,Referral,Desktop,153,120,350,0.41,171.0,5.0,3063.66,313.69
2026-07-10,Social Media,Desktop,428,368,1132,0.534,178.0,10.0,6384.06,1258.87
2026-03-25,Paid Search,Tablet,122,108,344,0.411,179.0,5.0,3499.66,1043.13
2026-08-23,Direct,Desktop,329,299,854,0.383,173.0,8.0,7030.24,0.0
2026-01-30,Direct,Mobile,344,269,968,0.416,125.0,9.0,7810.94,0.0
2026-05-15,Organic Search,Tablet,235,208,677,0.441,171.0,10.0,8057.65,0.0
2026-10-12,Social Media,Mobile,381,330,963,0.529,121.0,3.0,2111.66,1143.79
2026-05-16,Organic Search,Tablet,239,195,556,0.384,122.0,5.0,3946.41,0.0
2026-04-27,Social Media,Mobile,482,415,1108,0.576,171.0,10.0,7041.11,1734.67
2026-09-22,Organic Search,Mobile,641,555,1383,0.369,145.0,15.0,12290.89,0.0
2026-07-15,Direct,Tablet,152,134,335,0.318,126.0,8.0,6820.83,0.0
2026-07-26,Paid Search,Desktop,482,405,1582,0.488,231.0,15.0,13474.05,3543.44
2026-06-08,Email,Tablet,163,133,481,0.27,157.0,9.0,8204.11,211.72
2026-11-26,Referral,Tablet,149,116,328,0.403,133.0,6.0,4033.78,300.58
2026-05-02,Paid Search,Tablet,160,130,495,0.383,163.0,5.0,3871.28,1363.59
2026-05-30,Organic Search,Mobile,583,498,1511,0.438,140.0,14.0,12582.0,0.0
2026-07-13,Direct,Mobile,402,365,1384,0.386,157.0,11.0,10400.13,0.0
2026-08-08,Paid Search,Desktop,369,310,1061,0.486,188.0,16.0,12945.23,2993.08
2026-08-15,Direct,Mobile,335,276,1027,0.411,167.0,7.0,5007.16,0.0
2026-03-02,Paid Search,Mobile,537,485,1317,0.546,166.0,15.0,12297.61,4329.56
2026-08-16,Social Media,Tablet,114,89,287,0.495,148.0,5.0,2581.46,380.92
2026-12-26,Referral,Desktop,150,119,356,0.432,168.0,7.0,5848.73,270.57
2026-04-19,Referral,Tablet,20,15,60,0.379,141.0,1.0,648.87,37.53
2026-03-15,Organic Search,Mobile,551,446,1716,0.405,157.0,12.0,11435.32,0.0
2026-10-09,Paid Search,Desktop,407,365,1322,0.41,168.0,16.0,13674.72,3786.23
2026-07-11,Paid Search,Desktop,354,319,780,0.452,167.0,6.0,4018.26,3365.86
2026-11-08,Organic Search,Desktop,453,379,1230,0.418,160.0,12.0,10022.87,0.0
2026-07-14,Email,Desktop,289,256,740,0.275,179.0,19.0,18587.21,303.03
2026-10-14,Organic Search,Tablet,141,124,366,0.356,106.0,6.0,4500.55,0.0
2026-07-13,Social Media,Tablet,135,121,363,0.547,107.0,2.0,1122.81,488.91
2026-08-01,Organic Search,Mobile,678,565,1953,0.419,169.0,22.0,19009.04,0.0
2026-09-19,Email,Mobile,231,208,717,0.364,104.0,9.0,9600.56,300.72
2026-01-13,Referral,Tablet,96,85,261,0.318,150.0,3.0,2164.63,163.28
2026-10-09,Social Media,Desktop,285,235,946,0.455,224.0,4.0,2648.35,957.84
2026-09-15,Social Media,Mobile,370,309,805,0.577,78.0,4.0,2572.68,1180.32
2026-11-10,Social Media,Mobile,388,313,1338,0.611,92.0,4.0,2406.82,1392.57
2026-10-07,Referral,Desktop,112,95,370,0.426,181.0,1.0,827.1,207.51
2026-06-03,Referral,Tablet,34,27,96,0.378,101.0,1.0,748.5,63.11
2026-11-03,Direct,Desktop,368,299,1077,0.399,213.0,21.0,20825.19,0.0
2026-04-29,Paid Search,Desktop,499,409,1622,0.486,225.0,18.0,13602.58,3911.27
2026-07-11,Organic Search,Desktop,549,446,1634,0.318,162.0,19.0,15189.48,0.0
2026-12-13,Paid Search,Mobile,351,306,843,0.369,115.0,9.0,7607.89,3318.39
2026-04-07,Email,Desktop,279,222,627,0.316,211.0,18.0,16713.48,328.47
2026-09-09,Direct,Tablet,153,126,391,0.342,125.0,6.0,4927.99,0.0
2026-04-15,Email,Tablet,77,62,226,0.343,113.0,8.0,7625.78,105.23
2026-03-01,Referral,Tablet,24,19,74,0.448,157.0,1.0,673.08,46.81
2026-05-18,Email,Tablet,73,57,190,0.334,110.0,2.0,1916.74,90.97
2026-12-09,Email,Tablet,20,18,53,0.35,186.0,2.0,1763.91,22.05
2026-05-09,Direct,Tablet,33,27,70,0.31,166.0,1.0,927.14,0.0
2026-01-05,Social Media,Tablet,183,148,602,0.584,213.0,2.0,912.63,567.49
2026-06-06,Direct,Mobile,304,275,788,0.299,115.0,7.0,6063.2,0.0
2026-09-18,Email,Mobile,274,248,881,0.378,74.0,8.0,7217.97,340.09
2026-12-05,Direct,Mobile,295,245,712,0.42,113.0,13.0,13701.47,0.0
2026-03-22,Direct,Tablet,74,58,216,0.347,147.0,2.0,1955.92,0.0
2026-11-19,Social Media,Desktop,328,277,885,0.544,144.0,5.0,3209.32,1177.73
2026-09-13,Referral,Tablet,75,60,226,0.348,149.0,1.0,754.11,132.54
2026-01-27,Organic Search,Desktop,568,491,1708,0.399,201.0,17.0,14587.03,0.0
2026-11-07,Email,Mobile,231,183,615,0.335,146.0,14.0,11967.41,297.55
2026-03-05,Email,Mobile,245,195,759,0.369,136.0,16.0,17895.93,255.58
2026-01-23,Paid Search,Tablet,85,69,245,0.468,115.0,3.0,2153.03,717.53
2026-01-22,Paid Search,Desktop,483,379,1070,0.433,185.0,21.0,13737.65,4671.29
2026-10-22,Organic Search,Tablet,190,158,575,0.39,121.0,7.0,5485.46,0.0
2026-07-06,Direct,Mobile,429,357,905,0.4,114.0,21.0,19518.47,0.0
2026-06-22,Paid Search,Mobile,550,447,1404,0.489,119.0,13.0,7692.84,4489.67
2026-03-03,Email,Mobile,272,222,600,0.367,128.0,15.0,13797.48,329.58
2026-09-19,Referral,Tablet,116,104,328,0.396,165.0,4.0,2996.31,194.7
2026-02-16,Direct,Tablet,28,24,78,0.242,147.0,4.0,3814.09,0.0
2026-06-29,Paid Search,Mobile,650,531,1482,0.531,97.0,17.0,16338.44,6113.32
2026-04-15,Direct,Tablet,102,79,266,0.408,157.0,2.0,1756.74,0.0
2026-01-14,Paid Search,Tablet,197,165,580,0.354,143.0,4.0,2539.59,1631.26
2026-10-06,Social Media,Mobile,435,373,1521,0.535,85.0,5.0,3201.97,1514.98
2026-10-03,Organic Search,Desktop,512,409,1388,0.373,182.0,19.0,17666.47,0.0
2026-08-30,Paid Search,Tablet,53,43,155,0.467,193.0,0.0,0.0,429.52
2026-08-29,Social Media,Mobile,415,350,1244,0.626,96.0,5.0,3542.55,1183.7
2026-05-30,Organic Search,Tablet,201,180,537,0.404,172.0,5.0,4158.23,0.0
2026-05-11,Paid Search,Tablet,165,131,509,0.45,117.0,1.0,789.99,1535.98
2026-06-26,Paid Search,Mobile,539,455,1430,0.475,138.0,12.0,9424.91,4826.6
2026-10-30,Paid Search,Tablet,188,146,625,0.443,149.0,10.0,6384.64,1415.4
2026-10-10,Email,Tablet,114,99,285,0.27,169.0,7.0,7070.3,147.7
2026-10-28,Email,Tablet,143,118,461,0.385,123.0,5.0,4631.95,193.13
2026-04-13,Social Media,Tablet,64,56,168,0.567,165.0,1.0,560.68,223.81
2026-11-20,Direct,Tablet,93,84,283,0.366,204.0,3.0,3163.62,0.0
2026-10-20,Email,Desktop,225,195,756,0.292,186.0,15.0,11530.69,273.09
2026-02-24,Email,Mobile,233,186,573,0.399,111.0,8.0,8207.05,280.46
2026-06-20,Referral,Tablet,20,17,46,0.379,161.0,0.0,0.0,32.53
2026-07-21,Social Media,Tablet,90,81,243,0.55,132.0,1.0,575.17,276.47
2026-06-09,Referral,Tablet,20,17,64,0.372,174.0,1.0,731.06,33.32
2026-12-31,Social Media,Tablet,155,122,467,0.499,141.0,0.0,0.0,448.19
2026-07-03,Paid Search,Desktop,462,410,1313,0.442,223.0,21.0,18535.75,3825.18
2026-05-24,Organic Search,Tablet,211,181,489,0.358,148.0,9.0,8089.18,0.0
2026-06-23,Direct,Mobile,419,371,895,0.376,188.0,23.0,23651.22,0.0
2026-06-25,Referral,Mobile,185,164,396,0.433,130.0,3.0,2423.62,357.52
2026-05-31,Referral,Mobile,136,109,301,0.431,81.0,3.0,2405.02,279.43
2026-11-28,Direct,Tablet,133,104,451,0.408,151.0,7.0,7171.75,0.0
2026-07-04,Paid Search,Tablet,162,130,430,0.544,126.0,4.0,2657.27,1442.72
2026-11-28,Paid Search,Mobile,332,278,833,0.483,140.0,10.0,7727.6,2825.13
2026-09-11,Organic Search,Desktop,671,559,2097,0.343,167.0,17.0,12709.9,0.0
2026-01-19,Email,Mobile,272,220,636,0.362,184.0,11.0,8032.4,361.71
2026-06-04,Email,Desktop,337,294,888,0.309,197.0,23.0,16636.44,436.44
2026-04-02,Direct,Tablet,107,87,325,0.359,155.0,4.0,4068.27,0.0
2026-08-06,Direct,Desktop,364,330,1207,0.388,218.0,14.0,14356.89,0.0
2026-02-15,Organic Search,Tablet,167,151,552,0.388,148.0,6.0,5678.81,0.0
2026-11-30,Organic Search,Mobile,564,511,1507,0.436,121.0,25.0,20909.83,0.0
2026-06-05,Paid Search,Tablet,199,173,549,0.479,145.0,6.0,5248.01,1440.45
2026-04-03,Direct,Mobile,364,322,952,0.437,124.0,14.0,12749.78,0.0
2026-10-30,Email,Mobile,274,221,949,0.318,112.0,14.0,14425.28,338.17
2026-03-17,Social Media,Mobile,383,309,867,0.435,121.0,7.0,5807.75,1248.0
2026-04-17,Email,Tablet,116,92,327,0.324,177.0,10.0,10524.98,139.56
2026-03-22,Direct,Desktop,275,241,908,0.386,157.0,13.0,11710.74,0.0
2026-10-06,Email,Desktop,279,218,867,0.366,186.0,12.0,9955.75,357.23
2026-05-27,Organic Search,Desktop,695,627,1734,0.349,197.0,29.0,22337.99,0.0
2026-07-26,Social Media,Mobile,468,379,1044,,124.0,13.0,7147.75,1660.34
2026-07-06,Paid Search,Tablet,181,148,561,0.483,175.0,4.0,3609.06,1620.62
2026-12-18,Social Media,Tablet,165,138,451,0.492,155.0,0.0,0.0,590.89
2026-09-12,Email,Desktop,218,189,518,0.343,185.0,12.0,11040.27,266.44
2026-06-09,Referral,Desktop,208,167,688,0.451,138.0,4.0,2759.74,364.96
2026-01-05,Referral,Mobile,155,140,436,0.43,148.0,7.0,4741.31,240.59
2026-07-01,Social Media,Mobile,481,422,1520,0.57,111.0,11.0,6985.61,1518.26
2026-05-30,Paid Search,Tablet,174,146,590,0.449,166.0,5.0,4072.25,1677.89
2026-09-02,Organic Search,Desktop,682,592,2327,0.412,178.0,21.0,18607.95,0.0
2026-01-13,Organic Search,Mobile,568,509,1925,0.399,140.0,13.0,12411.51,0.0
2026-06-05,Email,Desktop,303,246,733,0.289,196.0,15.0,14567.69,367.98
2026-01-09,Direct,Desktop,230,194,641,0.259,187.0,9.0,8106.73,0.0
2026-08-03,Referral,Tablet,69,57,183,0.379,179.0,0.0,0.0,114.59
2026-03-24,Email,Desktop,384,345,1120,0.379,191.0,21.0,20984.04,394.63
2026-01-13,Direct,Tablet,125,107,412,0.381,180.0,5.0,4460.18,0.0
2026-08-11,Referral,Mobile,178,140,479,0.393,,5.0,3765.6,323.92
2026-09-05,Social Media,Mobile,407,342,1135,0.573,120.0,3.0,1745.99,1300.92
2026-11-10,Paid Search,Desktop,444,370,1358,0.407,203.0,16.0,12615.36,4242.62
2026-06-10,Organic Search,Tablet,198,166,502,0.413,149.0,5.0,4277.74,0.0
2026-04-16,Direct,Desktop,273,222,940,0.341,201.0,11.0,10124.94,0.0
2026-05-24,Paid Search,Mobile,555,440,1262,0.469,148.0,7.0,5266.35,5419.88
2026-10-28,Direct,Tablet,81,67,195,0.384,85.0,4.0,3755.79,0.0
2026-02-27,Direct,Desktop,305,263,766,0.31,152.0,19.0,16530.63,0.0
2026-01-12,Organic Search,Desktop,501,453,1237,0.409,145.0,15.0,12420.1,0.0
2026-02-11,Paid Search,Tablet,216,195,749,0.426,148.0,9.0,7814.27,2040.39
2026-02-16,Organic Search,Desktop,434,385,1291,0.337,178.0,14.0,10979.24,0.0
2026-12-06,Organic Search,Tablet,189,164,424,0.39,200.0,6.0,5072.99,0.0
2026-06-10,Paid Search,Tablet,183,162,565,0.41,173.0,6.0,4816.56,1738.56
2026-09-11,Social Media,Tablet,142,115,428,0.5,152.0,3.0,2301.98,511.78
2026-07-16,Direct,Tablet,104,84,237,0.384,190.0,2.0,2082.69,0.0
2026-08-24,Referral,Tablet,104,90,322,0.441,189.0,6.0,3786.61,167.55
2026-04-28,Email,Desktop,306,240,1055,0.336,162.0,15.0,16212.31,420.88
2026-11-16,Direct,Desktop,289,261,975,0.331,164.0,9.0,8737.04,0.0
2026-12-20,Organic Search,Desktop,430,342,1220,0.35,204.0,9.0,9689.25,0.0
2026-05-05,Direct,Mobile,397,357,1341,0.392,131.0,9.0,7306.46,0.0
2026-10-09,Social Media,Tablet,210,173,582,0.56,124.0,5.0,2953.99,734.54
2026-03-30,Email,Tablet,137,109,458,0.321,116.0,6.0,5623.38,164.77
2026-03-19,Direct,Tablet,165,149,441,0.338,188.0,3.0,2015.16,0.0
2026-08-28,Referral,Tablet,132,109,422,0.429,139.0,2.0,1622.43,272.09
2026-10-04,Organic Search,Tablet,142,122,367,0.406,145.0,3.0,1781.83,0.0
2026-05-22,Email,Tablet,140,126,360,0.294,162.0,11.0,9797.76,177.77
2026-06-28,Organic Search,Desktop,521,470,1658,0.388,190.0,19.0,16462.77,0.0
2026-09-20,Direct,Tablet,114,101,299,0.302,173.0,8.0,7813.62,0.0
2026-04-16,Paid Search,Desktop,462,364,1569,0.4,176.0,9.0,7838.0,3650.92
2026-04-24,Social Media,Tablet,86,72,204,0.464,113.0,0.0,0.0,246.76
2026-02-12,Social Media,Mobile,377,333,1140,0.528,143.0,8.0,5150.49,1250.87
2026-02-18,Organic Search,Desktop,581,453,1649,0.359,219.0,10.0,10274.18,0.0
2026-07-17,Paid Search,Mobile,569,474,1706,0.457,112.0,12.0,9419.6,4482.66
2026-12-15,Referral,Tablet,100,84,319,0.388,198.0,2.0,1703.34,157.87
2026-12-21,Organic Search,Mobile,590,474,1810,0.416,103.0,15.0,12115.77,0.0
2026-11-22,Social Media,Desktop,297,233,1005,0.519,195.0,5.0,2931.2,1031.57
2026-08-15,Referral,Mobile,231,204,729,0.471,157.0,2.0,1310.76,449.92
2026-02-12,Organic Search,Desktop,624,506,1315,0.408,123.0,19.0,15843.43,0.0
2026-07-15,Paid Search,Desktop,491,400,1574,0.457,136.0,18.0,12656.28,4198.47
2026-12-13,Direct,Mobile,285,243,853,0.41,133.0,7.0,6591.13,0.0
2026-01-12,Email,Mobile,209,176,586,0.397,120.0,12.0,10432.08,231.74
2026-08-06,Email,Mobile,321,280,822,0.33,110.0,14.0,13249.48,331.92
2026-03-07,Social Media,Desktop,272,234,583,0.514,174.0,6.0,3944.86,761.47
2026-06-05,Social Media,Tablet,156,138,513,0.512,135.0,6.0,3878.74,573.04
2026-03-08,Paid Search,Tablet,119,98,376,0.436,114.0,1.0,662.16,1152.84
2026-04-03,Social Media,Desktop,418,360,1094,0.505,148.0,8.0,5301.1,1456.42
2026-12-10,Social Media,Tablet,127,105,394,0.532,149.0,4.0,3319.98,465.59
2026-09-08,Referral,Mobile,175,152,443,0.38,99.0,2.0,1285.13,318.89
2026-05-28,Organic Search,Mobile,798,724,2331,0.479,132.0,21.0,21260.78,0.0
2026-08-20,Direct,Tablet,107,93,364,0.414,157.0,7.0,8225.47,0.0
2026-12-07,Social Media,Mobile,387,344,945,0.556,106.0,7.0,4972.78,1137.35
2026-09-23,Direct,Desktop,314,285,1036,0.3,187.0,12.0,10496.85,0.0
2026-11-09,Paid Search,Mobile,495,416,1249,0.462,118.0,15.0,12120.71,4031.4
2026-11-09,Direct,Desktop,280,232,891,0.406,193.0,7.0,7142.04,0.0
2026-11-20,Email,Tablet,80,67,218,0.287,144.0,6.0,5272.8,101.17
2026-04-29,Email,Desktop,222,194,639,0.307,196.0,15.0,13496.38,264.03
2026-06-11,Email,Mobile,325,290,856,0.454,89.0,17.0,16125.99,383.09
2026-06-14,Paid Search,Tablet,208,184,583,0.46,106.0,6.0,4832.78,1981.52
2026-08-22,Referral,Desktop,97,84,230,0.409,201.0,1.0,749.34,197.07
2026-01-30,Referral,Mobile,250,212,755,0.485,113.0,6.0,4157.31,402.29
2026-07-20,Social Media,Tablet,115,92,323,0.553,147.0,0.0,0.0,316.56
2026-01-31,Email,Desktop,161,145,485,0.331,180.0,8.0,7431.15,198.07
2026-10-15,Referral,Tablet,29,23,99,0.468,125.0,0.0,0.0,59.05
2026-03-06,Email,Tablet,108,94,306,0.382,138.0,2.0,1651.49,118.06
2026-04-25,Organic Search,Mobile,564,500,1682,0.417,92.0,20.0,17857.39,0.0
2026-03-30,Referral,Mobile,239,202,660,0.427,133.0,4.0,2759.61,415.86
2026-10-07,Paid Search,Mobile,563,473,1474,0.48,93.0,15.0,12841.13,4798.86
2026-05-16,Referral,Desktop,81,66,215,0.416,210.0,2.0,1560.21,152.63
2026-03-25,Paid Search,Mobile,530,462,1260,0.523,104.0,17.0,15039.65,4726.47
